大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
汝等宜察之，譬之火然，撲於始燄則易爲力也。”	Bọn ngươi phải xem xét hắn, cũng như lửa vậy, dập tắc lửa mới nhen nhúm thì sức dễ làm."
及仕乘勝長驅如入虛邑，阮有整旣俘召統帝出居于外，京北則陳光珠，黄春秀，山南則际康等按地據守。	Kịp khi Võ Văn Sĩ (Nhậm) thừa thắng đuổi dài như vào nước trống, Nguyễn Hữu Chỉnh đã bị bắt sống, vua Chiêu thống chạy ra ở ngoài, ở Kinh bắc thì Trần Quang Chu, Hoàng Xuân Tú, ở Sơn nam thì bọn Nguyễn Viết khang chiếm đất chống giữ.
黎之親屬維仲，維欖則起于淸化，維祇則起于定州，互相聲應。	Thân thuộc của nhà Lê là Duy Trọng Duy Lãm thì khởi nghĩa ở Thanh hóa, Duy Chi thì khởi nghĩa ở Định châu làm thanh ứng lẫn nhau.
有嘉林璣舍人陳廷魁自稱黎詹事言於仕曰：“北河怨整雖深而思黎之心未釋，嗣君一去未卜回期。	Có Trần Đình Khôi, người ở Cơ xá thuộc Gia lâm tự xưng làm quan Chiêm sự nhà Lê nói với Sĩ (Nhậm) rằng: "Bắc hà oán Chỉnh tuy sâu mà lòng nhớ nhà Lê chưa nguôi. Vua nối ngôi (Chiêu thống) một khi ra đi chưa định ngày về.
今有崇讓公黎維槿，先帝在辰己正位東宮，壬寅之變爲驕兵所廢。	Nay Có Sùng nhượng công Lê Duy Cận, lúc tiên đế (Hiền tông) còn sống đã chánh vị đông cung, trong biến cố năm nhâm dần (1782) bị kiêu binh phế xuống.
公能復之，掛一紙于大興門，不日之間文武畢集。	Ông có thể phục hồi chức vị cho Sùng nhượng công, treo một tờ giấy ở cửa Đại hưng thi nội ngày văn võ bá quan tụ tập hết.
天下之事運之如反掌耳。”	Việc nước mình vận chuyển dễ trở như bàn tay."
仕頜之，使人迎維槿監國，居于勤政殿左偏，遍求黎諸臣亦無一人至者。	Võ Văn Sĩ (Nhậm) gật đầu, sai người đón Lê Duy Cận làm Giám quốc, cho ở phía tả điện Cần chính, tìm khắp nơi các bề tôi của nhà Lê cũng không có một người đến.
京中呼曰監國吏目。	Người trong kinh thành gọi Lê Duy Cận là Giám quốc lại mục (Chức quan nhỏ coi việc nước).
楚言于仕曰：我看崇讓公面目如何軀策得人。	Ngô Văn Sở nói với Võ Văn Sĩ (Nhậm) rằng: - Tôi xem mặt mũi Sùng nhượng công như thế thì làm sao sai khiển được ai.
自古天下亦非誰家私物，如可取則取之，何事倩一市奴監國作木偶主人？	Từ xưa thiên hạ cũng không phải vật riêng của nhà họ nào, như có thể lấy thì lấy đi, việc gì phải mượn một thằng hèn hạ trong đô thị coi việc nước làm ông chủ bù nhìn bằng gỗ?
我久頓城中反爲他作流寓客兵耶？	Tôi đóng mãi trong thành trái lại phải làm khách binh lưu ngụ của hắn hay sao?
仕日	Võ Văn Sĩ (Nhậm) nói:
袁术背后转出骁将俞涉曰：“小将愿往。”	Sau lưng Viên Thuật, có một tướng lực lưỡng, tên là Du Thiệp bước ra thưa rằng: - Tiểu tướng xin ra.
绍喜，便著俞涉出马。	Thiệu mừng sai Thiệp ra.
即时报来：“俞涉与华雄战不三合，被华雄斩了。”	Vừa được một lát, có người về báo: - Thiệp đánh nhau với Hoa Hùng được ba hiệp, bị Hùng chém chết rồi!
众大惊。	Các tướng cả sợ.
太守韩馥曰：“吾有上将潘凤，可斩华雄。”	Thái thú Hàn Phức nói: - Tôi có thượng tướng Phan Phụng có thể chém được Hoa Hùng.
绍急令出战。潘凤手提大斧上马。去不多时，飞马来报：“潘凤又被华雄斩了。”	Thiệu bèn sai Phan Phụng ra đánh. Phụng tay cầm một cái búa to, lên ngựa, ra được một lát, lại bị Hoa Hùng chém chết.
众皆失色。	Các tướng không người nào còn máu mặt.
绍曰：“可惜吾上将颜良、文丑未至！	Thiệu nói rằng: - Tiếc thay! Danh tướng của ta là Nhan Lương, Văn Sú chưa đến.
得一人在此，何惧华雄！”	Giá thử được một trong hai người ấy ở đây thì có sợ gì Hoa Hùng.
言未毕，阶下一人大呼出曰：“小将愿往斩华雄头，献于帐下！”	Nói chưa dứt lời một người ở dưới thềm, chạy ra, nói to lên rằng: - Tiểu tướng xin ra chém đầu Hoa Hùng, đem dân dưới trướng.
众视之，见其人身长九尺，髯长二尺，丹凤眼，卧蚕眉，面如重枣，声如巨钟，立于帐前。	Mọi người nhìn xem thấy người ấy mình cao chín thước, râu dài hai thước, mắt phượng mày tằm, mặt đỏ như gấc, tiếng giống chuông kêu.
绍问何人。	Thiệu hỏi là người nào.
公孙瓒曰：“此刘玄德之弟关羽也。”	Toản thưa: - Em Huyền Đức tên là Quan Vũ đấy!
绍问现居何职。	Thiệu lại hỏi hiện làm chức gì?
瓒曰：“跟随刘玄德充马弓手。”	Toản thưa: - Vũ theo Huyền Đức làm tay bắn cung.
帐上袁术大喝曰：“汝欺吾众诸侯无大将耶？	Viên Thuật ở trong trướng thét lên: - Thằng này là thằng nào! Mà dám khinh chư hầu chúng tao không có đại tướng hay sao?
量一弓手，安敢乱言！	Thứ mày là một thằng cung thủ, mà dám nói khoác à?
与我打出！”	Chúng đâu, đuổi cổ nó ra ngoài kia!
曹操急止之曰：“公路息怒。	Tào Tháo vội ngăn rằng: - Công Lộ hãy nguôi cơn giận.
此人既出大言，必有勇略；试教出马，如其不胜，责之未迟。”	Người ấy đã nói mạnh thế, chắc là có dũng lực. Xin hãy thử cho ra, hễ không đánh được, ta sẽ trị tội.
袁绍曰：“使一弓手出战，必被华雄所笑。”	Viên Thiệu nói: - Sai một tay bắn cung ra đánh, giặc nó có cười cho không?
操曰：“此人仪表不俗，华雄安知他是弓手？”	Tào Tháo nói: - Người ấy diện mạo oai vệ thế kia. Hoa Hùng biết đâu là tay bắn cung.
关公曰：“如不胜，请斩某头。”	Quan Công nói: - Nếu tôi không đánh được, xin chặt đầu tôi đi!
操教酾热酒一杯，与关公饮了上马。	Tháo sai người rót chén rượu, đưa Quan Công uống trước khi đi.
关公曰：“酒且斟下，某去便来。”	Quan Công nói: - Xin hãy để chén rượu đấy, tôi đi rồi về ngay!
出帐提刀，飞身上马。	Nói rồi đi ra, vác long đao nhảy lên lưng ngựa.
众诸侯听得关外鼓声大振，喊声大举，如天摧地塌，岳撼山崩，众皆失惊。正欲探听，鸾铃响处，马到中军，云长提华雄之头，掷于地上。其酒尚温。	Được một lát chư hầu nghe thấy ngoài cửa quan tiếng trống đánh, tiếng người reo ầm ầm, tựa hồ như trời long đất lở, núi đổ non nghiêng, ai nấy đều thất kinh đang định sai người ra xem, thì đã thấy tiếng nhạc nhong nhong trở về, ngựa đã vào tới trung quân. Quan Công cầm đầu Hoa Hùng ném xuống đất, chén rượu của Tào Tháo đưa hãy còn nóng.
后人有诗赞之曰：“威镇乾坤第一功，辕门画鼓响冬冬。云长停盏施英勇，酒尚温时斩华雄。”	Đời sau có thơ khen rằng: Uy Vũ lừng danh đệ nhất công Nha môn trống trận nổi thùng thùng Chén rượu rót ra còn nóng hổi, Vân Trường đã chém chết Hoa Hùng.
曹操大喜。	Tào Tháo mừng lắm.
只见玄德背后转出张飞，高声大叫：“俺哥哥斩了华雄，不就这里杀入关去，活拿董卓，更待何时！”	Lúc ấy, Trương Phi ở sau lưng Lưu Bị mới chạy ra nói to lên rằng: - Đại ca đã chém chết được Hoa Hùng, sao không nhân thể đánh thốc vào cửa quan, bắt sống lấy Đổng Trác, còn đợi đến bao giờ?
袁术大怒，喝曰：“俺大臣尚自谦让，量一县令手下小卒，安敢在此耀武扬威！	Viên Thuật giận quát mắng rằng: - Thằng láo! Đại thần của chúng tao đây còn phải khiêm tốn, thứ mày là tiểu tốt của một quan huyện, sao dám hỗn xược ở đây?
都与赶出帐去！”	Đuổi cả chúng nó ra ngoài kia.
曹操曰：“得功者赏，何计贵贱乎？”	Tào Tháo nói: - Ai có công thì thưởng, cứ gì quý với tiện!
袁术曰：“既然公等只重一县令，我当告退。”	Viên Thuật nói: - Có phải các ông chỉ trọng một người huyện lệnh thì tôi xin cáo thoái.
操.曰：“岂可因一言而误大事耶？”	Tháo nói: - Sao lại vì một lời nói, mà bỏ việc lớn?
命公孙瓒且带玄德、关、张回寨。	Nói thế rồi Tháo bảo Công Tôn Toản hãy mời các ông ấy về trại.
众官皆散。	Chư hầu tan, người nào về trại người ấy.
曹操暗使人赍牛酒抚慰三人。	Tháo mật sai người đem trâu và rượu đưa sang mừng và úy lạo ba anh em Lưu, Quan, Trương.
却说华雄手下败军，报上关来。	Quân Hoa Hùng thua, chạy về cửa quan báo Lý Túc.
李肃慌忙写告急文书，申闻董卓。卓急聚李儒、吕布等商议。儒曰：“今失了上将华雄，贼势浩大。	Túc vội vàng viết giấy báo Đổng Trác, Trác họp các quan lại bàn, Lý Nho nói: - Nay ta mất thượng tướng Hoa Hùng, thế giặc to lắm.
袁绍为盟主，绍叔袁隗，现为太傅；倘或里应外合，深为不便，可先除之。	Viên Thiệu là minh chủ, có chú là Viên Ngỗi hiện đang làm thái phó, nếu chúng trong ngoài tiếp ứng cho nhau thì nguy lắm, ta nên trừ trước đi.
请丞相亲领大军，分拨剿捕。”	Xin thừa tướng thân cầm đại quân, chia đường ra đánh thì mới được.
卓然其说，唤李催、郭汜领兵五百，围住太傅袁隗家，不分老幼，尽皆诛绝，先将袁隗首级去关前号令。	Trác nghe lời Nho, gọi Lý Thôi, Quách Dĩ, lĩnh năm trăm quân đến vây nhà thái phó Viên Ngỗi, già trẻ đều giết sạch, rồi đem đầu Ngỗi ra bêu trước cửa quan.
卓遂起兵二十万，分为两路而来：一路先令李傕、郭汜引兵五万，把住汜水关，不要厮杀；卓自将十五万，同李儒、吕布、樊稠、张济等守虎牢关。这关离洛阳五十里。军马到关，卓令吕布领三万军，去关前扎住大寨。卓自在关上屯住。	Trác khởi hai mươi vạn quân chia làm hai đường, một đường sai Lý Thôi, Quách Dĩ, đem năm vạn quân ra giữ cửa Dĩ Thủy, không đánh nhau vội; một đường thì Trác đem mười lăm vạn quân cùng với Lý Nho, Lã Bố, Phàn Trù, Trương Tế giữ cửa quan Hổ Lao, Trác sai Lã Bố lĩnh ba mươi vạn quân ra trước quan, đóng một trại lớn; Trác thì đóng đồn trên cửa quan.
流星马探听得，报入袁绍大寨里来。	Quân lưu tinh dò được tình hình, kíp vào trại Viên Thiệu báo.
绍聚众商议。	Thiệu họp các tướng lại bàn.
操曰：“董卓屯兵虎牢，截俺诸侯中路，今可勒兵一半迎敌。”	Tháo nói: - Đổng Trác đóng quân ở Hổ Lao, là cốt chẹn đường chư hầu. Nay nên chia quân ra, một nửa ra đó nghênh địch.
绍乃分王匡、乔瑁、鲍信、袁遗、孙融、张杨、陶谦、公孙瓒八路诸侯，往虎牢关迎敌。	Thiệu bèn cắt Vương Khuông, Kiều Mạo, Pháo Tín, Viên Dị, Khổng Dung, Trương Dương, Đào Khiêm, Công Tôn Toản cả thảy tám vị chư hầu đến cửa Hổ Lao đón địch.
操引军往来救应。	Tào Tháo thì dẫn quân đi lại tiếp ứng.
八路诸侯，各自起兵。河内太守王匡，引兵先到。	Chư hầu đều khởi binh đến, thái thú Vương Khuông đi trước.
吕布带铁骑三千，飞奔来迎。	Lã Bố đem năm nghìn quân thiết kỵ lại.
王匡将军马列成阵势，勒马门旗下看时，见吕布出阵：头戴三叉束发紫金冠，体挂西川红锦百花袍，身披兽面吞头连环铠，腰系勒甲玲珑狮蛮带；弓箭随身，手持画戟，坐下嘶风赤兔马：果然是“人中吕布，马中赤兔”！	Vương Khuông đem quân mã, bày thành thế trận, cưỡi ngựa đứng dưới cửa cờ, trông thấy Lã Bố ra trận mình mặc áo gấm đỏ trăm hoa, ngoài khoác áo giáo thú diện liên hoàn; dưới thắt dây lưng sư man, lưng đeo một bộ cung tên; tay cầm một ngọn họa kích, cưỡi ngựa xích thố.
王匡回头问曰：“谁敢出战？”	Khuông ngoảnh lại hỏi ai dám ra đánh?
后面一将，纵马挺枪而出。匡视之，乃河内名将方悦。	Đằng sau có một tướng vác ngọn giáo, tế ngựa chạy ra; đó là một danh tướng ở Hà Nội, tên là Phương Duyệt.
两马相交，无五合，被吕布一戟刺于马下，挺戟直冲过来。	Hai ngựa giao nhau, chưa được năm hiệp, Duyệt bị Lã Bố đánh một ngọn kích ngã xuống ngựa. Bố xông thẳng vào.
匡军大败，四散奔走。	Quân Vương Khuông thua to, chạy tán loạn ra bốn mặt.
布东西冲杀，如入无人之境。	Bố xông xáo vào đám quân Khuông, như chạy vào nơi không người.
幸得乔瑁、袁遗两军皆至，来救王匡，吕布方退。	May sao Kiều Mạo, Viên Di đem hai cánh quân vừa đến, cứu được Vương Khuông, quân Bố mới lui.
三路诸侯，各折了些人马，退三十里下寨。	Chư hầu ba xứ mỗi xứ mất ít nhiều người ngựa, lui ba mươi dặm, đóng trại.
随后五路军马都至，一处商议，言吕布英雄，无人可敌。	Quân năm xứ đi sau cũng dần dần kéo cả đến, họp lại bàn nhau, đều cho Lã Bố là anh hùng, không ai địch nổi.
正虑间，小校报来：“吕布搦战。”	Khi đang lo nghĩ thì có quân vào báo rằng Lã Bố đến khiêu chiến.
八路诸侯，一齐上马。军分八队，布在高冈。遥望吕布一簇军马，绣旗招飐，先来冲阵。	Chư hầu tám xư đều lên ngựa kéo ra cả, chia quân ra làm tám đội ở trên gò cao; trông ở đằng xa thấy một toán quân mã, cờ bay phất phới; Lã Bố xông đến.
上党太守张杨部将穆顺，出马挺枪迎战，被吕布手起一戟，刺于马下。	Bộ tướng của Trương Dương, thái thú Thượng Đẳng tên là Mục Thuận vác ngọn giáo tế ngựa ra đánh, bị Bố đâm một ngọn kích chết lăn từ trên ngựa xuống đất.
众大惊。	
北海太守孔融部将武安国，使铁锤飞马而出。吕布挥戟拍马来迎。战到十余合，一戟砍断安国手腕，弃锤于地而走。	Thấy thế, một bộ tướng của Khổng Dung, tên là Vũ An Quốc, vác một cái dùi sắt, tế ngựa chạy ra, Lã Bố đến, đánh nhau được mười hiệp, Bố đưa một ngọn kích đánh gãy cánh tay An Quốc. An Quốc vứt dùi sắt chạy.
八路军兵齐出，救了武安国。	Chư hầu tám xứ cùng đổ ra mới cứu được An Quốc.
吕布退回去了。众诸侯回寨商议。	Lã Bố lui quân trở về, các chư hầu lại về trại bàn với nhau.
曹操曰：“吕布英勇无敌，可会十八路诸侯，共议良策。	Tào Tháo nói: - Lã Bố anh hùng, không địch được. Nay nên họp cả mười tám nước chư hầu để bàn nhau tìm kế gì đánh được nó.
若擒了吕布，董卓易诛耳。”	Hễ bắt sống được Lã Bố, thì giết Đổng Trác chẳng khó gì nữa!
正议间，吕布复引兵搦战。	Trong khi đang bàn bạc, Lã Bố lại kéo quân đến thách đánh.
